City,Latitude,Longitude,Temperature,Humidity,Windspeed,Cloudiness,Max Temp
san patricio,28.017,-97.5169,34.8,13,7.2,1,36.0
hithadhoo,-0.6,73.0833,28.47,69,3.26,13,28.47
olafsvik,64.8945,-23.7142,7.02,82,7.77,100,7.02
khorinsk,52.1657,109.7726,6.22,27,0.6,100,6.22
narsaq,60.9167,-46.05,14.0,30,13.38,75,14.0
bayan,46.0833,127.4,5.02,32,3.78,3,5.02
bafra,41.5678,35.9069,11.0,87,1.03,75,11.0
nagato,34.3833,131.2,13.26,82,1.03,0,15.0
eyemouth,55.8713,-2.0901,8.6,66,1.79,10,9.44
khorixas,-20.3667,14.9667,25.58,24,1.81,48,25.58
kruisfontein,-34.0033,24.7314,15.56,92,0.45,100,15.56
vuktyl,63.8567,57.3094,6.41,79,3.39,100,6.41
toppenish,46.3774,-120.3087,12.13,50,7.2,75,13.0
margate,51.3813,1.3862,7.94,72,2.68,100,8.33
barrow,71.2906,-156.7887,-4.0,80,1.93,1,-4.0
saint-augustin,51.226,-58.6502,4.02,75,4.97,89,4.02
kupang,-10.1667,123.5833,24.22,86,3.61,8,24.22
fort nelson,58.8053,-122.7002,5.0,33,2.57,40,5.0
pokhara,28.2333,83.9833,21.4,28,3.43,35,21.4
samarai,-10.6167,150.6667,28.0,78,6.4,88,28.0
ciudad bolivar,8.1222,-63.5497,33.55,39,4.7,99,33.55
muros,42.7762,-9.0603,15.96,50,1.34,97,19.44
fianarantsoa,-21.4333,47.0833,16.2,93,2.0,100,16.2
longyearbyen,78.2186,15.6401,-3.0,63,2.06,75,-3.0
littleton,39.6133,-105.0166,14.93,33,3.6,75,17.22
ahipara,-35.1667,173.1667,14.68,80,3.76,27,14.68
chernyshevskiy,63.0128,112.4714,-2.64,99,1.21,100,-2.64
tornio,65.8481,24.1466,0.0,100,6.17,90,0.0
ketchikan,55.3422,-131.6461,11.0,50,5.66,1,11.0
hailar,49.2,119.7,4.11,28,1.76,100,4.11
laguna,38.421,-121.4238,17.52,55,4.63,90,19.44
kormilovka,55.0026,74.1028,7.0,23,3.0,0,7.0
pafos,34.7667,32.4167,19.0,88,4.12,0,19.0
nauta,-4.5061,-73.5757,32.3,54,0.54,24,32.3
tagusao,9.1924,117.8141,26.06,81,1.49,97,26.06
nador,35.174,-2.9287,16.09,82,6.17,90,17.0
atambua,-9.1061,124.8925,21.5,87,2.22,11,21.5
codrington,-38.2667,141.9667,10.31,91,2.38,99,10.31
dikson,73.5069,80.5464,-13.83,95,5.47,14,-13.83
smidovich,48.6,133.8167,1.67,37,7.97,0,1.67
kyra,49.5776,111.9753,5.07,24,0.78,100,5.07
karatau,43.1667,70.4667,11.21,62,2.5,37,11.21
severo-kurilsk,50.6789,156.125,1.58,96,2.03,100,1.58
lakes entrance,-37.8811,147.981,8.33,93,4.55,77,8.33
finnsnes,69.2296,17.9811,0.0,55,4.12,8,0.0
atherton,53.5237,-2.4935,15.99,51,4.12,5,17.0
curitibanos,-27.2828,-50.5844,23.25,44,1.58,100,23.25
nagar karnul,16.4821,78.3247,29.99,47,2.39,67,29.99
airai,-8.9266,125.4092,14.04,92,1.23,51,14.04
rockhampton,-23.3833,150.5,20.0,77,2.57,77,20.0
tutoia,-2.7619,-42.2744,30.0,79,7.2,40,30.0
senador guiomard,-10.1522,-67.7392,31.0,62,4.12,40,31.0
comodoro rivadavia,-45.8667,-67.5,17.0,51,4.12,0,17.0
victoria,22.2855,114.1577,23.57,87,3.31,74,25.0
iqaluit,63.7506,-68.5145,1.83,75,2.06,75,2.0
polunochnoye,60.8697,60.4153,4.9,88,3.32,100,4.9
ampanihy,-24.7,44.75,22.26,69,2.76,5,22.26
mondeville,49.175,-0.3224,12.0,66,6.17,0,12.0
richards bay,-28.783,32.0377,20.75,85,5.14,91,20.75
kinablangan,7.6947,126.5503,25.82,81,2.26,61,25.82
komsomolskiy,40.4272,71.7189,18.0,42,2.06,95,18.0
bereda,43.2686,-7.5406,15.0,93,4.02,99,15.0
kaitangata,-46.2817,169.8464,7.78,88,0.89,23,7.78
talaya,61.3833,152.75,-20.99,99,0.88,100,-20.99
zverinogolovskoye,54.4586,64.8542,8.08,41,7.5,100,8.08
isangel,-19.55,169.2667,25.03,81,4.53,100,25.03
husavik,66.0449,-17.3389,11.0,62,4.63,0,11.0
mangrol,21.1167,70.1167,27.14,81,5.2,100,27.14
lake havasu city,34.4839,-114.3224,26.9,14,7.72,1,28.0
anlu,31.1661,112.5831,12.95,94,6.05,100,12.95
kushima,31.4583,131.2333,14.23,88,2.28,17,14.23
kadoshkino,54.0257,44.4191,3.44,87,5.39,44,3.44
dekar,-21.5333,21.9333,18.95,24,1.87,0,18.95
sisimiut,66.9395,-53.6735,5.63,61,2.34,0,5.63
emerald,-23.5333,148.1667,16.12,48,4.63,40,17.0
erzin,36.9559,36.2,20.83,46,2.06,0,22.0
shingu,33.7333,135.9833,11.82,88,2.08,5,11.82
petatlan,17.5167,-101.2667,30.0,58,3.69,1,30.0
gat,31.61,34.7642,18.94,100,1.38,4,20.56
